Species,Small-molecule metabolite or macromolecule,Metabolic activity,Ref. #
Alistipes sp. HGB5,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),32(G)
Alistipes sp. HGB5,Propanoate (Propionate),Production (export),32(G)
Alistipes sp. HGB5,Succinate,Production (export),32(G)
Alloprevotella rava,Acetate,Production (export),"421, 421(G)"
Alloprevotella rava,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import) (-),421
Alloprevotella rava,D-Fructose (Fructose),Consumption (import),421
Alloprevotella rava,D-Glucose (Glucose),Consumption (import),421
Alloprevotella rava,D-Mannitol (Mannitol),Consumption (import) (-),421
Alloprevotella rava,D-Mannose (Mannose),Consumption (import),421
Alloprevotella rava,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import) (-),421
Alloprevotella rava,D-Xylose (Xylose),Consumption (import) (-),421
Alloprevotella rava,H2S (HS-),Production (export) (-),421
Alloprevotella rava,Indole,Production (export) (-),473
Alloprevotella rava,Isovalerate (3-Methylbutanoic acid),Production (export),421
Alloprevotella rava,L-Arginine (Arginine),Consumption (import) (-),421
Alloprevotella rava,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import) (-),421
Alloprevotella rava,Lactose,Consumption (import),421
Alloprevotella rava,Maltose,Consumption (import),421
Alloprevotella rava,Melibiose,Consumption (import) (-),421
Alloprevotella rava,Nitrate (NO3-),Consumption (import) (-),421
Alloprevotella rava,Raffinose,Consumption (import) (-),421
Alloprevotella rava,Succinate,Production (export),"421, 421(G)"
Alloprevotella rava,Sucrose,Consumption (import) (-),421
Alloprevotella rava,Trehalose,Consumption (import) (-),421
Alloprevotella rava,Urea,Consumption (import) (-),421
Alloprevotella tannerae,Acetate,Production (export),421(G)
Alloprevotella tannerae,Succinate,Production (export),421(G)
Aminobacterium colombiense,"L-Alanine (D-Alanine, Alanine)",Consumption (import),34
Aminobacterium colombiense,"L-Aspartate (Aspartate, D-Aspartate)",Consumption (import),34
Aminobacterium colombiense,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Consumption (import),34
Aminobacterium colombiense,L-Isoleucine (Isoleucine),Consumption (import),34
Aminobacterium colombiense,L-Leucine (Leucine),Consumption (import),34
Aminobacterium colombiense,L-Methionine (D-Methionine),Consumption (import),34
Aminobacterium colombiense,"L-Valine (Valine, D-Valine)",Consumption (import),34
Aminomonas paucivorans,Acetate,Production (export),422
Aminomonas paucivorans,Formate,Production (export),422
Aminomonas paucivorans,L-Arginine (Arginine),Consumption (import),422
Aminomonas paucivorans,"L-Cysteine (Cysteine, D-Cysteine)",Consumption (import),422
Aminomonas paucivorans,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Consumption (import),422
Aminomonas paucivorans,L-Glycine (Glycine),Consumption (import),422
Aminomonas paucivorans,L-Histidine (Histidine),Consumption (import),422
Aminomonas paucivorans,L-Ornithine (Ornithine),Production (export),422
Aminomonas paucivorans,L-Threonine (Threonine),Consumption (import),422
Aminomonas paucivorans,Propanoate (Propionate),Production (export),422
Anaerobutyricum hallii,"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)",Consumption (import),767
Anaerobutyricum hallii,Acetate,"Consumption (import), Production (export)",import:767;export:84
Anaerobutyricum hallii,Butyrate,Production (export),"37, 38, 39, 41, 42, 43, 44, 45, 46, 84, 766, 767"
Anaerobutyricum hallii,CO2,Production (export),46
Anaerobutyricum hallii,D-Fructose (Fructose),Consumption (import),"84, 767"
Anaerobutyricum hallii,D-Galactose,Consumption (import),"84, 767"
Anaerobutyricum hallii,D-Glucose (Glucose),Consumption (import),"46, 84, 767"
Anaerobutyricum hallii,D-Mannitol (Mannitol),Consumption (import),"84, 767"
Anaerobutyricum hallii,D-Mannose (Mannose),Consumption (import),"84, 767"
Anaerobutyricum hallii,D-Ribose (Ribose),Consumption (import),"84, 767"
Anaerobutyricum hallii,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import),"84, 767"
Anaerobutyricum hallii,FOS (Fructooligosaccharide),Consumption (import),766
Anaerobutyricum hallii,Formate,Production (export),"84, 767"
Anaerobutyricum hallii,H2 (Hydrogen),Production (export),"84, 767"
Anaerobutyricum hallii,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)","Consumption (import), Production (export)","import:37, 38, 39, 41, 43, 44, 46, 767;export:84"
Anaerobutyricum hallii,Lactose,Consumption (import),"84, 767"
Anaerobutyricum hallii,Maltose,Consumption (import),"84, 767"
Anaerobutyricum hallii,Succinate,Production (export),"84, 767"
Anaerococcus hydrogenalis,Butyrate,Production (export),"35, 35(G)"
Anaerococcus hydrogenalis,D-Fructose (Fructose),Consumption (import),35(G)
Anaerococcus hydrogenalis,D-Glucose (Glucose),Consumption (import),"35, 35(G)"
Anaerococcus hydrogenalis,D-Mannose (Mannose),Consumption (import),35
Anaerococcus hydrogenalis,Indole,Production (export),35
Anaerococcus hydrogenalis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),35(G)
Anaerococcus hydrogenalis,Lactose,Consumption (import),"35, 35(G)"
Anaerococcus hydrogenalis,Propanoate (Propionate),Production (export),35(G)
Anaerococcus hydrogenalis,Raffinose,Consumption (import),35
Anaerococcus hydrogenalis,Succinate,Production (export),35(G)
Anaerococcus hydrogenalis,Sucrose,Consumption (import),35(G)
Anaerococcus hydrogenalis,Urea,Consumption (import),35
Anaerococcus lactolyticus,Butyrate,Production (export),"35, 35(G)"
Anaerococcus lactolyticus,D-Fructose (Fructose),Consumption (import),35(G)
Anaerococcus lactolyticus,D-Galactose,Consumption (import),35
Anaerococcus lactolyticus,D-Glucose (Glucose),Consumption (import),"35, 35(G)"
Anaerococcus lactolyticus,D-Mannose (Mannose),Consumption (import),35
Anaerococcus lactolyticus,L-Arginine (Arginine),Consumption (import),35
Anaerococcus lactolyticus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),35(G)
Anaerococcus lactolyticus,Lactose,Consumption (import),"35, 35(G)"
Anaerococcus lactolyticus,Propanoate (Propionate),Production (export),35(G)
Anaerococcus lactolyticus,Succinate,Production (export),35(G)
Anaerococcus lactolyticus,Sucrose,Consumption (import),35(G)
Anaerococcus lactolyticus,Urea,Consumption (import),35
Anaerococcus obesiensis,Butyrate,Production (export),35(G)
Anaerococcus obesiensis,D-Fructose (Fructose),Consumption (import),35(G)
Anaerococcus obesiensis,D-Glucose (Glucose),Consumption (import),35(G)
Anaerococcus obesiensis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),35(G)
Anaerococcus obesiensis,Lactose,Consumption (import),35(G)
Anaerococcus obesiensis,Propanoate (Propionate),Production (export),35(G)
Anaerococcus obesiensis,Succinate,Production (export),35(G)
Anaerococcus obesiensis,Sucrose,Consumption (import),35(G)
Anaerococcus prevotii,Butyrate,Production (export),"35, 35(G)"
Anaerococcus prevotii,D-Fructose (Fructose),Consumption (import),35(G)
Anaerococcus prevotii,D-Glucose (Glucose),Consumption (import),"35, 35(G)"
Anaerococcus prevotii,D-Mannose (Mannose),Consumption (import),35
Anaerococcus prevotii,L-Arginine (Arginine),Consumption (import),35
Anaerococcus prevotii,L-Histidine (Histidine),Consumption (import),35
Anaerococcus prevotii,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),35(G)
Anaerococcus prevotii,Lactose,Consumption (import),"35, 35(G)"
Anaerococcus prevotii,Propanoate (Propionate),Production (export),35(G)
Anaerococcus prevotii,Raffinose,Consumption (import),35
Anaerococcus prevotii,Succinate,Production (export),35(G)
Anaerococcus prevotii,Sucrose,Consumption (import),35(G)
Anaerococcus prevotii,Urea,Consumption (import),35
Anaerococcus tetradius,Butyrate,Production (export),"35, 35(G)"
Anaerococcus tetradius,D-Fructose (Fructose),Consumption (import),35(G)
Anaerococcus tetradius,D-Glucose (Glucose),Consumption (import),"35, 35(G)"
Anaerococcus tetradius,D-Mannose (Mannose),Consumption (import),35
Anaerococcus tetradius,L-Arginine (Arginine),Consumption (import),35
Anaerococcus tetradius,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),35(G)
Anaerococcus tetradius,L-Leucine (Leucine),Consumption (import),35
Anaerococcus tetradius,Lactose,Consumption (import),35(G)
Anaerococcus tetradius,Propanoate (Propionate),Production (export),35(G)
Anaerococcus tetradius,Succinate,Production (export),35(G)
Anaerococcus tetradius,Sucrose,Consumption (import),35(G)
Anaerococcus tetradius,Urea,Consumption (import),35
Anaerococcus vaginalis,Butyrate,Production (export),"35, 35(G)"
Anaerococcus vaginalis,D-Fructose (Fructose),Consumption (import),35(G)
Anaerococcus vaginalis,D-Glucose (Glucose),Consumption (import),"35, 35(G)"
Anaerococcus vaginalis,D-Mannose (Mannose),Consumption (import),35
Anaerococcus vaginalis,Indole,Production (export),35
Anaerococcus vaginalis,L-Arginine (Arginine),Consumption (import),35
Anaerococcus vaginalis,L-Histidine (Histidine),Consumption (import),35
Anaerococcus vaginalis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),35(G)
Anaerococcus vaginalis,L-Leucine (Leucine),Consumption (import),35
Anaerococcus vaginalis,Lactose,Consumption (import),35(G)
Anaerococcus vaginalis,Propanoate (Propionate),Production (export),35(G)
Anaerococcus vaginalis,Succinate,Production (export),35(G)
Anaerococcus vaginalis,Sucrose,Consumption (import),35(G)
Anaerostipes caccae,4-Aminobutyrate (GABA),Consumption (import),45
Anaerostipes caccae,Acetate,"Consumption (import), Production (export)","import:36, 37, 38, 41, 46;export:621"
Anaerostipes caccae,Butyrate,Production (export),"36, 37, 38, 39, 40, 41, 43, 44, 45, 46"
Anaerostipes caccae,CO2,Production (export),"36, 46"
Anaerostipes caccae,D-Fructose (Fructose),Consumption (import),36
Anaerostipes caccae,D-Glucose (Glucose),Consumption (import),46
Anaerostipes caccae,FOS (Fructooligosaccharide),Consumption (import),42
Anaerostipes caccae,Formate,Production (export),41
Anaerostipes caccae,H2 (Hydrogen),Production (export),46
Anaerostipes caccae,Indole,Production (export) (-),621
Anaerostipes caccae,Isobutyrate (2-Methylpropanoic acid),Production (export),41
Anaerostipes caccae,Isovalerate (3-Methylbutanoic acid),Production (export),41
Anaerostipes caccae,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)","Consumption (import), Production (export)","import:36, 37, 38, 39, 41, 43, 44, 46;export:621"
Anaerostipes caccae,Nitrate (NO3-),Consumption (import),621
Anaerostipes caccae,Propanoate (Propionate),Production (export),41
Anaerostipes caccae,Succinate,Production (export),41
Anaerostipes caccae,XOS (Xylooligosaccharide),Consumption (import),42
Anaerostipes hadrus,Acetate,"Consumption (import), Production (export)",import:423;export:424
Anaerostipes hadrus,Butyrate,Production (export),"423, 424"
Anaerostipes hadrus,Cellobiose,Consumption (import),424
Anaerostipes hadrus,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),424
Anaerostipes hadrus,D-Fructose (Fructose),Consumption (import),424
Anaerostipes hadrus,D-Galactose,Consumption (import),424
Anaerostipes hadrus,D-Glucose (Glucose),Consumption (import),"423, 424"
Anaerostipes hadrus,D-Mannitol (Mannitol),Consumption (import),424
Anaerostipes hadrus,D-Mannose (Mannose),Consumption (import),424
Anaerostipes hadrus,D-Ribose (Ribose),Consumption (import) (-),424
Anaerostipes hadrus,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import),424
Anaerostipes hadrus,D-Xylose (Xylose),Consumption (import),424
Anaerostipes hadrus,Erythritol,Consumption (import) (-),242
Anaerostipes hadrus,Formate,Production (export),"423, 424"
Anaerostipes hadrus,"Fructan (Inulin, Levan)",Macromolecule degradation,424
Anaerostipes hadrus,Glycerol,Consumption (import) (-),424
Anaerostipes hadrus,H2 (Hydrogen),Production (export),424
Anaerostipes hadrus,H2S (HS-),Production (export) (-),424
Anaerostipes hadrus,Hippurate,Consumption (import) (-),242
Anaerostipes hadrus,"Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate)",Consumption (import),424
Anaerostipes hadrus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)","Consumption (import), Production (export)",import:423;export:424
Anaerostipes hadrus,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import) (-),424
Anaerostipes hadrus,L-Sorbose (Sorbose),Consumption (import),424
Anaerostipes hadrus,Lactose,Consumption (import),424
Anaerostipes hadrus,Maltose,Consumption (import),424
Anaerostipes hadrus,Melibiose,Consumption (import) (-),424
Anaerostipes hadrus,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),424
Anaerostipes hadrus,Nitrate (NO3-),Consumption (import),423
Anaerostipes hadrus,Propanoate (Propionate),Production (export),424
Anaerostipes hadrus,Pyruvate,Production (export),424
Anaerostipes hadrus,Raffinose,Consumption (import) (-),424
Anaerostipes hadrus,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,424
Anaerostipes hadrus,Sucrose,Consumption (import),424
Anaerostipes hadrus,Trehalose,Consumption (import),424
Anaerotruncus colihominis,"2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate)",Consumption (import),47
Anaerotruncus colihominis,Acetate,Production (export),47
Anaerotruncus colihominis,Butyrate,Production (export),47
Anaerotruncus colihominis,Cellobiose,Consumption (import),47
Anaerotruncus colihominis,D-Fructose (Fructose),Consumption (import),47
Anaerotruncus colihominis,D-Galactose,Consumption (import),47
Anaerotruncus colihominis,D-Glucose (Glucose),Consumption (import),47
Anaerotruncus colihominis,D-Mannose (Mannose),Consumption (import),47
Anaerotruncus colihominis,D-Turanose,Consumption (import),47
Anaerotruncus colihominis,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",Consumption (import),47
Anaerotruncus colihominis,H2S (HS-),Production (export),47
Anaerotruncus colihominis,Indole,Production (export),47
Anaerotruncus colihominis,Inosine,Consumption (import),47
Anaerotruncus colihominis,"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)",Consumption (import),47
Anaerotruncus colihominis,"L-Serine (Serine, D-Serine)",Consumption (import),47
Anaerotruncus colihominis,"L-Valine (Valine, D-Valine)",Consumption (import),47
Anaerotruncus colihominis,Maltose,Consumption (import),47
Anaerotruncus colihominis,N-Acetyl-D-Glucosamine (N-Acetylglucosamine),Consumption (import),47
Anaerotruncus colihominis,N-Acetyl-D-mannosamine,Consumption (import),47
Anaerotruncus colihominis,Pyruvate,Consumption (import),47
Anaerotruncus colihominis,Thymidine,Consumption (import),47
Anaerotruncus colihominis,Trehalose,Consumption (import),47
Anaerotruncus colihominis,Uridine,Consumption (import),47
Archaeoglobus fulgidus,Acetate,Production (export),"23, 48"
Archaeoglobus fulgidus,Carbon monoxide (CO),Consumption (import),48
Archaeoglobus fulgidus,D-Glucose (Glucose),Consumption (import),23
Atopobium parvulum,Acetate,Production (export),385(G)
Atopobium parvulum,Formate,Production (export),385(G)
Atopobium parvulum,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),385(G)
Atopobium rimae,Acetate,Production (export),385(G)
Atopobium rimae,Formate,Production (export),385(G)
Atopobium rimae,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),385(G)
Atopobium vaginae,Acetate,Production (export),385(G)
Atopobium vaginae,Formate,Production (export),385(G)
Atopobium vaginae,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),385(G)
Azotobacter vinelandii,CO2,Production (export),25
Azotobacter vinelandii,D-Glucose (Glucose),Consumption (import),25
Azotobacter vinelandii,Ethanol,Production (export),25
Bacillus amyloliquefaciens,CO2,Production (export),25(G)
Bacillus amyloliquefaciens,N2,Production (export),25(G)
Bacillus amyloliquefaciens,Nitrate (NO3-),Consumption (import),25(G)
Bacillus anthracis,CO2,Production (export),25(G)
Bacillus anthracis,N2,Production (export),25(G)
Bacillus anthracis,Nitrate (NO3-),Consumption (import),25(G)
Bacillus atrophaeus,CO2,Production (export),25(G)
Bacillus atrophaeus,N2,Production (export),25(G)
Bacillus atrophaeus,Nitrate (NO3-),Consumption (import),25(G)
Bacillus cellulosilyticus,CO2,Production (export),25(G)
Bacillus cellulosilyticus,N2,Production (export),25(G)
Bacillus cellulosilyticus,Nitrate (NO3-),Consumption (import),25(G)
Bacillus cereus,CO2,Production (export),25(G)
